Date,Author,Content,Keywords,Link
Date inconnue,Top Tech,"Cyber Africa Forum 2025 to Take Place in Benin, Focus on Cybersecurity and AI.",Cyber Africa Forum,https://www.linkedin.com/posts/top-tech-gh_cyber-africa-forum-2025-to-take-place-in-activity-7291035277173624832-VTQV
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,"We're pleased to welcome Mr. Thami Drissi, Sales Director for Africa at GATEWATCHER, to the AFRICAN CYBERSECURITY SUMMIT 2025!",Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-gatewatcher-activity-7288583712735166464-_lOx
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,We're honored to welcome Dr. Redda Ben Geloune to the AFRICAN CYBERSECURITY SUMMIT 2025! As the visionary founder of AITEK Group and an accomplished technology ...,Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-techleadership-activity-7285289007062630401-fY4m
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,Discover how #TrendMicro is driving cybersecurity resilience across Africa and empowering local organizations to defend against modern cyber ...,Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-trendmicro-activity-7287062913171816448--LDf
Date inconnue,"Maximilien F. KPODJEDO, Ph. D.","KPODJEDO, Ph. D. Digital Transformation & Strategic Portfolio Management Executive for Resilient Growth | Cybersecurity | IT Governance | Risk & ...",Cyber Africa Forum,https://www.linkedin.com/posts/maxkpodjedo_cyber-africa-forum-2024-activity-7185571515260620800-O8o3
Date inconnue,Adama ASSIONGBON,"Cyberattaque en Afrique : Le Maroc , cible du groupe ransomware GD LockerSec, fuite de données imminente à l'USMBA L'Université ...",cybermenace entreprise Afrique,https://fr.linkedin.com/posts/adama-assiongbon-9029893a_cyberattaque-en-afrique-le-maroc-activity-7289590234206380032-SRoh
Date inconnue,LinkedIn,"Avec la digitalisation rapide en Afrique, les entreprises sont confrontées à des cyberattaques de plus en plus sophistiquées. En 2023, des PME, banques et ...",cybermenace entreprise Afrique,https://fr.linkedin.com/posts/managementdetransition_face-%C3%A0-lescalade-de-la-cybermenace-en-afrique-activity-7178724705007280128-GqM_
Date inconnue,ICC,74% des entreprises africaines déclarent avoir subi une cyberattaque selon le Baromètre de la Cybersécurité 2024 du CESIA - CLUB D ...,cybermenace entreprise Afrique,https://fr.linkedin.com/posts/infracybercloud_rapport-d%C3%A9valuation-des-cybermenaces-en-activity-7288197157822636033-UIcw
Date inconnue,Africa CyberSecurity Mag,Post de Africa CyberSecurity Mag · L'Afrique du Sud au huitième rang mondial des pays attaqués par ransomware au monde · Plus de posts pertinents.,cybermenace entreprise Afrique,https://fr.linkedin.com/posts/africacybermag_lafrique-du-sud-au-huiti%C3%A8me-rang-mondial-activity-7278083283421130752-TDm9
Date inconnue,Adama ASSIONGBON,"Cyberattaque en Afrique : Workers.com.zm en Zambie #ciblé par le groupe #ransomware #FunkSec Cette semaine, la Zambie se ...",cybermenace entreprise Afrique,https://fr.linkedin.com/posts/adama-assiongbon-9029893a_cibl%C3%A9-ransomware-funksec-activity-7272574580953600000-QZp2
Date inconnue,Veronique Corda,"Si vous êtes présent(e) au #TRUSTECH cette semaine, ne manquez pas l'intervention de zakaria HAJIRI, VP EMEA South de Ping Identity qui ...",fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/veroniquecorda_trustech-fraude-ia-activity-7269329420690063361-nRVE
Date inconnue,Edith Brou Bleu,"""Les cybercriminels utilisent déjà l'IA pour proposer des offres contenants des ivoiriens célèbres Sur les réseaux sociaux vous allez voir ...",fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/edithbrou_les-cybercriminels-utilisent-activity-7201179374291755008-Nzba
Date inconnue,LinkedIn,Rejoignez notre formation sur la fraude dans les paiements digitaux en Afrique et devenez un acteur clé de la lutte contre les cybercrimes.,fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/jean-no%C3%ABl-georges-9692112_fraude-paiement-afrique-activity-7242532644008206336-ngFk
Date inconnue,Amine IDRISS A. KARAMA,Les plus grandes craintes liées à l'espionnage informatique en Afrique sont à rattacher à la Chine. Cette menace revêt une grande importance en ...,fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/leadershipdevelopment1_cybers%C3%A9curit%C3%A9-afrique-papss-activity-7239439773545693184-4Al2
Date inconnue,Jérôme Coeuré,"L'intelligence artificielle révolutionne la manière de sécuriser les processus d'identification. Contrairement aux outils traditionnels, ...",fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/coeure_lintelligence-artificielle-b%C3%A2tir-un-rempart-activity-7292103484026343425--Rpf
Date inconnue,Pascal VRAMMONT,Contact our Cybersecurity experts: #nationalpr #cybersecurity · Cyber attack: Not if... but when ...,Cyber attaque,https://www.linkedin.com/posts/pascal-vrammont-109a0187_cyberattaque-ransomware-termite-activity-7264902923531309056-RE2Z
Date inconnue,Benjamin Scrive,Le departement victime d'une cyber attaque. https://www.zinfos974.com ... #CyberSecurity #Hacking #CriticalInfrastructure #CyberWarfare # ...,Cyber attaque,https://www.linkedin.com/posts/benjamin-scrive-5a760b_le-departement-victime-dune-cyber-attaque-activity-7264500678499139584-NFip
Date inconnue,Cyber Edition,"DDoS attacks aren't hard to implement, so staying informed is staying smart. Start by understanding how the attack works and its potential impact on your ...",Cyber attaque,https://www.linkedin.com/posts/cyberedition_how-ddos-attack-works-follow-cyber-edition-activity-7261460110261067776-HyoJ
Date inconnue,Pascal VRAMMONT,"Italy has recorded a 65% increase in cyber attacks, compared to the global 11%, with 72% of attacks successfully breaching company systems.",Cyber attaque,https://www.linkedin.com/posts/pascal-vrammont-109a0187_cyberattaque-ransomware-databreach-activity-7274328211684003840-te7a
Date inconnue,Cyber News Live,A ransomware attack on Anna Jaques Hospital led to sensitive patient data—like Social Security numbers and medical records—being leaked on ...,Cyber attaque,https://www.linkedin.com/posts/cyber-news-live_oneblood-confirms-personal-data-stolen-in-activity-7284788857714196481-WfwM
Date inconnue,Emily McCormick,"Cybercrime is big business, and business is booming. Per Bank of America's global research team (via Seeking Alpha): “If cybercrime damage ...",Cyber criminel,https://www.linkedin.com/posts/ehmccormick_magazine-exclusive-the-business-of-cybercrime-activity-7250488117021798400-updY
Date inconnue,LinkedIn,The best list of digital forensics tools that I have used so far to produce expert opinion! These are nothing but showcase of digital arms of cyber police ...,Cyber criminel,https://www.linkedin.com/posts/thibault-prono-b485652a0_splash-art-de-mon-cyber-criminel-chaperon-activity-7176287820213276672-iWI_
Date inconnue,Trapster,"Comment piéger des cyber-criminels ? (et les espionner ). https ... Cyber-Criminality, Cyber-Terrorism, Cyber-Warfare is bound to ...",Cyber criminel,https://www.linkedin.com/posts/trapster-cloud_comment-pi%C3%A9ger-des-cyber-criminels-et-activity-7289567834723033089-wlVY
Date inconnue,Michel Quinones,Comment piéger des cyber-criminels ? (et les espionner ... Comment piéger des cyber-criminels ? (et les espionner ). https ...,Cyber criminel,https://www.linkedin.com/posts/michel-quinones-254118287_comment-pi%C3%A9ger-des-centaines-de-pirates-informatiques-activity-7286799148136189952-ZpfU
Date inconnue,LinkedIn,Comment piéger des cyber-criminels ? (et les espionner ),Cyber criminel,https://www.linkedin.com/posts/thierry-baile_comment-pi%C3%A9ger-des-cyber-criminels-et-activity-7286788922557235200-WNQK
Date inconnue,Samira El Gadir,"La désinformation est un business lucratif. Ce que cherchent avant tout les plateformes c'est la rentabilité économique, peu leur importe si ...",Désinformation,https://fr.linkedin.com/posts/samira-el-gadir-factchecking-verificateurs-tf1_la-d%C3%A9sinformation-est-un-business-lucratif-activity-7305887997038612482-4ApT
Date inconnue,Arnaud Mercier,Lire la désinformation comme un récit sériel : pour une approche littéraire des manipulations de l'information.,Désinformation,https://fr.linkedin.com/posts/arnaud-mercier-46595a66_lire-la-d%C3%A9sinformation-comme-un-r%C3%A9cit-s%C3%A9riel-activity-7265625160261550080-p_4g
Date inconnue,Sciences Po,"Emeric Henry, directeur du département d'économie de Sciences Po, s'intéresse aux leviers pour combattre la désinformation sur les réseaux ...",Désinformation,https://fr.linkedin.com/posts/sciences-po_comprendre-son-temps-2-d%C3%A9sinformation-activity-7284158298369478656-k9C-
Date inconnue,Richard-Emmanuel Eastes,"Pourquoi les gens écrivent des trucs visiblement faux sur Internet. 1) Pour faire du buzz. Ça fait des clics, et donc des revenus ...",Désinformation,https://fr.linkedin.com/posts/eastes_ep07-la-d%C3%A9sinformation-pourquoi-autant-activity-7268389786271289345-wc4z
Date inconnue,Stratégies,"La désinformation à propos de l'Afrique s'est démultipliée depuis le retour à la Maison Blanche de Donald Trump, y compris sur le continent.",Désinformation,https://fr.linkedin.com/posts/strategies_avec-le-retour-de-trump-la-d%C3%A9sinformation-activity-7308095436945321985-LqiB
Date inconnue,LinkedIn,Alerte Cyber : Faille de sécurité critique dans Microsoft Outlook. cybermalveillance.gouv.fr.,Cyber Alerte,https://www.linkedin.com/posts/hussein-aissaoui-3a273a_alerte-cyber-faille-de-s%C3%A9curit%C3%A9-critique-activity-7167869978623352832-emg_
Date inconnue,Stéphane Diot,"CyberSecurity #Security #Alerte #breach #vulnerability : CERTFR ... Cyber-Sécurité : monter la suite complète ""Kali"" sur Windows 10.",Cyber Alerte,https://www.linkedin.com/posts/stephanediot_cybersecurity-security-alerte-activity-7073549197160935424-pvSz
Date inconnue,LinkedIn,Cybermalveillance.gouv.fr sur LinkedIn : Alerte Cyber : Faille de sécurité critique dans Microsoft Outlook.,Cyber Alerte,https://www.linkedin.com/posts/jean-beno%C3%AEt-nonque-9313701_cybermalveillancegouvfr-sur-linkedin-activity-7167855012017070080-0GWs
Date inconnue,Cyber Alert,"Alertez-vous : Une vulnérabilité critique a été identifiée dans Microsoft Dataverse, pouvant entraîner une élévation de privilèges.",Cyber Alerte,https://fr.linkedin.com/posts/cyber-alert-fr_s%C3%A9curit%C3%A9informatique-microsoftdataverse-alerte-activity-7306849839101739010-vebz
Date inconnue,Cyber Alert,Une vulnérabilité critique dans Python vient d'être révélée ! Restez informés et protégez vos systèmes dès maintenant. Une alerte émise ...,Cyber Alerte,https://fr.linkedin.com/posts/cyber-alert-fr_s%C3%A9curit%C3%A9informatique-vuln%C3%A9rabilit%C3%A9-python-activity-7302555188886667264-f0na
Date inconnue,Jess Meredith,It was 'Dress up as a pirate' day at school. But my child had other ideas. He didn't want to be a pirate. He wanted to be a parrot.,Piraté,https://www.linkedin.com/posts/jess-meredith-neurodiversity-services_it-was-dress-up-as-a-pirate-day-at-school-activity-7296063233004654592-UALE
Date inconnue,Julian Dobson,"There's a constant tension between being a pirate and being part of the navy: between taking initiative and acting entrepreneurially, and accepting the ...",Piraté,https://www.linkedin.com/posts/juliandobson_fill-resourcing-civic-activity-a-survey-activity-7209473889783926784-feOT
Date inconnue,Eddie Yoon,"We're excited to introduce a special ""Contributing Pirate” series to Category Pirates! Once a month, you'll read a mini-book written by a ...",Piraté,https://www.linkedin.com/posts/eddie-yoon-ewg_were-excited-to-introduce-a-special-contributing-activity-7191127010058932226-1MS0
Date inconnue,Linda Hurtado,Yesterday I shared the history of pirates in the Tampa Bay area. Today I share some fun facts about Ye Mystic Krewe the hosts of the ...,Piraté,https://www.linkedin.com/posts/linda-hurtado-80422949_yesterday-i-shared-the-history-of-pirates-activity-7289082774429270017-PO5s
Date inconnue,ethan austin,"When my four year old got pirate figurines for his birthday yesterday, my seven year old noticed only one of the pirates in the set was female.",Piraté,https://www.linkedin.com/posts/fintech-investor_when-my-four-year-old-got-pirate-figurines-activity-7287506245853364225-UsU9
Date inconnue,LinkedIn,➡️ Vous voulez savoir pourquoi ces mots de passe sont si dangereux ? Découvrez les risques des mots de passe faibles ici : Lire l'article : https ...,mots de passe faibles,https://fr.linkedin.com/posts/bassemlamouchi_attention-aux-mots-de-passes-faibles-activity-7293675445852516352-0lm5
Date inconnue,Marc Barbezat,"Le rapport de NordPass de 2024 révèle que des mots de passe faibles comme ""123456"" et ""password"" demeurent populaires malgré les ...",mots de passe faibles,https://fr.linkedin.com/posts/marcbarbezat_les-pires-mots-de-passe-en-2024-la-suisse-activity-7273683767536373760-anUA
Date inconnue,LinkedIn,"Dîtes adieu aux mots de passe faibles dans vos Active Directory On ne vous apprend rien, la force des mots de passe est probablement l'enjeu principal ...",mots de passe faibles,https://fr.linkedin.com/posts/mobeta_d%C3%AEtes-adieu-aux-mots-de-passe-faibles-activity-7222488342305652736-yA3W
Date inconnue,Bruno THOMAS,"Face à l'explosion des cyberattaques, continuer à utiliser ces mots de passe dérisoires est extrêmement risqué. Les experts le répètent : il ...",mots de passe faibles,https://fr.linkedin.com/posts/thomas-advisory_vous-utilisez-s%C3%BBrement-lun-des-mots-de-passe-activity-7269060232515932160-LUTx
Date inconnue,CDFORMATION,"Votre mot de passe est-il votre plus grande faiblesse en cybersécurité ? ➡️ Un mot de passe faible, c'est comme une porte d'entrée sans serrure ...",mots de passe faibles,https://fr.linkedin.com/posts/cdformation_votre-mot-de-passe-peut-il-r%C3%A9sister-activity-7198942203560218624-WonB
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,#PanoramaCybermenace | ⚱️ L'ANSSI a de nouveau observé en 2024 que des attaquants aux compétences variables étaient en mesure d'exploiter les ...,ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_panoramacybermenace-s%C3%A9curit%C3%A9-si-activity-7308048790404419584-9joX
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"La semaine dernière, le Centre de coordination cyber français (NCC-FR), incarné par l'ANSSI, a participé à l'évènement de réseautage #SMI2G ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_smi2g-horizoneurope-horizoneu-activity-7202202941565415424-XQLE
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"... ANSSI - Agence nationale de la sécurité des systèmes d&#39 · ANSSI - Agence nationale de la sécurité des systèmes d'information. 344,617 ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://www.linkedin.com/posts/anssi-fr_secnumcloud-activity-7075093338508419072-t2VV?trk=public_profile_like_view
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"Les 14 & 15 mars derniers, l'ANSSI participait au #BreizhCTF. L'occasion pour nos agents de présenter aux visiteurs le Capture The Flag ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_breizhctf-fcsc-activity-7307358724157853697-08Lg
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,L'ANSSI - Agence nationale de la sécurité des systèmes d'information et le Federal Office for Information Security (BSI) copublient un ...,ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_num%C3%A9rique-activity-7143223551746076672-ti2E
Date inconnue,Sebastien Louis,"L'intelligence artificielle (IA) s'impose comme un acteur clé en cybersécurité, mais son potentiel soulève des questions majeures. D'un côté, ...",Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/sebastienlouis_lintelligence-artificielle-un-catalyseur-activity-7287930907376672768-d7sp
Date inconnue,Lydie Catalano,"L'intelligence artificielle (IA) révolutionne le paysage de la cybersécurité, notamment dans le domaine de la gestion des risques liés aux tiers ...",Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/lydie-catalano-iam_shadow-it-et-ia-g%C3%A9n%C3%A9rative-quels-risques-activity-7252558974753861632-rgvh
Date inconnue,Nicolas Arpagian,Combiner #IA et #Cybersécurité une nécessité pour rendre réellement durable nos sociétés numérisées. C'est tout l'engagement des équipes ...,Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/nicolas-arpagian_ia-cybers%C3%A9curit%C3%A9-activity-7254746815667884032-s88d
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,L'ANSSI joue un rôle clé dans la cybersécurité de l'IA en identifiant les risques et en renforçant la confiance dans ces systèmes. J'aime.,Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/anssi-fr_sommet-pour-laction-sur-lintelligence-artificielle-activity-7290405705348464641-QjHV
Date inconnue,Emmanuel Moyrand,"De plus, l'IA permet d'anticiper les risques et de mettre en place des actions préventives pour protéger les données et les infrastructures ...",Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/emoyrand_ia-cybers%C3%A9curit%C3%A9-innovation-activity-7283484343132389376-9a0o
Date inconnue,Ministère de la Cybersécurité et du Numérique du Québec (MCN),"Les campagnes de désinformation s'appuient fréquemment sur des failles de sécurité pour voler des données, propager des fake news, ou déployer ...",nouvelles menaces numériques,https://fr.linkedin.com/posts/ministere-cybersecurite-numerique_%F0%9D%90%92%F0%9D%90%9E%F0%9D%90%A6%F0%9D%90%9A%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%9E-%F0%9D%90%9D%F0%9D%90%9E-%F0%9D%90%A5%F0%9D%90%9A-%F0%9D%90%A9%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%9C%F0%9D%90%AD%F0%9D%90%A2-activity-7290113942410981377-ZWb7
Date inconnue,Abdallah B.,Voici les principales menaces auxquelles ils sont confrontés : 1. Attaques par ransomware de nouvelle génération Les ransomwares continuent d' ...,nouvelles menaces numériques,https://fr.linkedin.com/posts/abdallah-baichou_cybers%C3%A9curit%C3%A9-6-pr%C3%A9visions-pour-2025-activity-7277969049953660928-9-yp
Date inconnue,Pierre Piveteau,"Cybersécurité : nouvelles menaces, nouvelles parades Ransomwares et pℎisℎing : retours d'expérience d'entreprises ciblées ...",nouvelles menaces numériques,https://www.linkedin.com/posts/cyberveille_cybers%C3%A9curit%C3%A9-nouvelles-menaces-nouvelles-activity-7304837194538504192-edgY
Date inconnue,Ministère de l'Europe et des Affaires étrangères,"En 2023, le Ministère de l'Intérieur a enregistré 278 770 atteintes numériques, soit une augmentation de 40% en 5 ans.",nouvelles menaces numériques,https://fr.linkedin.com/posts/ministere-des-affaires-etrangeres-francais_cybercriminalit%C3%A9-activity-7288103276938493952-w0Rk
Date inconnue,LinkedIn,"Escroqueries en ligne : vigilance accrue face aux nouvelles menaces numériques Les escroqueries en ligne se multiplient, utilisant des méthodes de plus en ...",nouvelles menaces numériques,https://fr.linkedin.com/posts/valorisk-sg_vigilance-accrue-face-aux-nouvelles-menaces-activity-7295713339102437376-Mny_
Date inconnue,Cybermalveillance.gouv.fr,"Aujourd'hui, c'est aussi le Clean Up Day en #Cybersécurité ! Prenez quelques minutes pour nettoyer votre espace numérique et protéger vos ...",Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_cybers%C3%A9curit%C3%A9-cybercleanup-s%C3%A9curit%C3%A9num%C3%A9rique-activity-7306569883100565504-3P0e
Date inconnue,Cybermalveillance.gouv.fr,#Hameçonnage ⚠️ Vous avez reçu un courriel vous annonçant l'activation d'un service « Amazon Prime Family » ? Il s'agit certainement d'une ...,Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_alerte-hame%C3%A7onnage-cybers%C3%A9curit%C3%A9-activity-7302982283982983168-XM4t
Date inconnue,Cybermalveillance.gouv.fr,"Comment faire quand des hackers nous empêche de communiquer sur LinkedIn et indeed ou France Travail jusqu'à présent inclus, c'est mon cas ...",Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_saferinternetday-cyberenclair-internets%C3%BBr-activity-7295023832770199552-2n1Q
Date inconnue,Cybermalveillance.gouv.fr,[🛡️ Cybersécurité] Des centaines de failles de sécurité corrigées dans les mises à jour du mois de mars ⚠️ Certaines de ces failles sont très ...,Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_cybers%C3%A9curit%C3%A9-failles-s%C3%A9curit%C3%A9-activity-7308063665256030208-qM_l
Date inconnue,Cybermalveillance.gouv.fr,Le label ExpertCyber fête ses 4 ans.,Cybermalveillance.gouv.fr,https://www.linkedin.com/posts/cybermalveillancegouvfr_le-label-expertcyber-f%C3%AAte-ses-4-ans-activity-7306257501144993792-6V_r
Date inconnue,Africa Trade News,"Ivory Coast is in the process of creating a National Agency for the Security of Information Systems (ANSSI), an organization dedicated to cybersecurity.",ANSSI - Côte d'Ivoire,https://www.linkedin.com/posts/africatradenews_ivorycoastcybersecurity-cybersecurityafrica-activity-7262804184117166080-nKxI
Date inconnue,Edith Brou Bleu,Côte d'Ivoire : l'Agence Nationale de la Sécurité des Systèmes d'Information (ANSSI ) lance officiellement ses activités en ligne !,ANSSI - Côte d'Ivoire,https://fr.linkedin.com/posts/edithbrou_c%C3%B4te-divoire-lagence-nationale-activity-7295159669608615936-ieqn
Date inconnue,LinkedIn,CYBERCRIMINALITÉ ET CYBERDÉFENSE : L'ANSSI ET LA GENDARMERIE NATIONALE RENFORCENT LEUR COLLABORATION La Gendarmerie Nationale et l'Agence ...,ANSSI - Côte d'Ivoire,https://fr.linkedin.com/posts/anssi-c%C3%B4te-d-ivoire_anssici-plcc-cybersecuriteci-activity-7304063607271510016-M6Ii
Date inconnue,LinkedIn,"L'ANSSI CÔTE D'IVOIRE RENFORCE SA COOPÉRATION AVEC LE COMCYBER-MI Le 11 Mars 2025, le Colonel-Major Guelpétchin OUATTARA, ...",ANSSI - Côte d'Ivoire,https://fr.linkedin.com/posts/anssi-c%C3%B4te-d-ivoire_anssi-cybers%C3%A9curit%C3%A9-cyberd%C3%A9fense-activity-7306224074958024704-Rasm
Date inconnue,Dr Albert Antwi-Boasiako,"It was a great honor to have Col Maj Guelpétchin OUATTARA, Director-General of the Agency National Information Systems Security (ANSSI) of ...",ANSSI - Côte d'Ivoire,https://www.linkedin.com/posts/dr-albert-antwi-boasiako-5a605422_anca-anca-cybersecurityafrica-activity-7296459941567995905-iQHd
